City,All Offense Types,Crimes Against Person,Murder and Nonnegligent Manslaughter,Negligent Manslaughter,Justifiable Homicide,Kidnapping/Abduction,All Rape,Rape,Sodomy,Sexual Assault With An Object,Criminal Sexual Contact,Incest,Statutory Rape,Aggravated Assault,Simple Assault,Intimidation,"Human Trafficking, Commercial Sex Acts","Human Trafficking, Involuntary Servitude",Crimes Against Property,Arson,Bribery,Burglary/Breaking & Entering,Counterfeiting/Forgery,Destruction/Damage/Vandalism of Property,Embezzlement,Extortion/Blackmail,False Pretenses/Swindle/Confidence Game,Credit Card/Automatic Teller Fraud,Impersonation,Welfare Fraud,Wire Fraud,Identity Theft,Hacking/Computer Invasion,Robbery,Pocket-picking,Purse-snatching,Shoplifting,Theft From Building,Theft From Coin Operated Machine or Device,Theft From Motor Vehicle,Theft of Motor Vehicle Parts/Accessories,All Other Larceny,Motor Vehicle Theft,Stolen Property Offenses,Crimes Against Society,Drug/Narcotic Violations,Drug Equipment Violations,Betting/Wagering,Operating/Promoting/Assisting Gambling,Gambling Equipment Violations,Sports Tampering,Pornography/Obscene Material,Prostitution,Assisting or Promoting Prostitution,Purchasing Prostitution,Weapon Law Violations,Animal Cruelty,Missing,Unnamed: 59,Year
Hinsdale,17,7,,,,,,,,,,,,,4,3,,,9,,,,,1,,1.0,1,,1.0,,,,,,,,,2,,,,1,1,1.0,1,,,,,,,1.0,,,,,,,,2024
Lanesboro,80,18,,,,,,,,,,,,4,8,6,,,58,,,8,,10,,,1,1.0,,,,2.0,,1.0,,,25,2,,2,,4,1,1.0,4,1,,,,,,1.0,,,,2.0,,,,2024
Lee,179,68,,,,,3.0,3.0,,,,,,9,44,12,,,109,,,4,3.0,24,1.0,,11,1.0,12.0,,,,,1.0,,,25,8,,,,15,3,1.0,2,2,,,,,,,,,,,,,,2024
Lenox,154,27,,,,,3.0,3.0,,,3.0,,,1,13,7,,,120,,,5,,24,,1.0,4,,7.0,,,2.0,,,,,53,,,7,,15,,2.0,7,3,,,,,,,,,,4.0,,,,2024
MA College of Liberal Arts,10,4,,,,,,,,,,,,1,,3,,,5,,,1,,1,,1.0,,,,,,,,,,,,1,,,,1,,,1,1,,,,,,,,,,,,,,2024
MBTA - Berkshire County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024
Monterey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024
Mount Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024
New Ashford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024
New Marlboro,9,4,,,,,1.0,1.0,,,,,,1,1,1,,,4,,,,,1,,,,1.0,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,1.0,,,,2024
North Adams,933,318,,,,2.0,7.0,5.0,2.0,,2.0,,6.0,132,135,34,,,528,4.0,,42,5.0,136,2.0,2.0,27,2.0,8.0,,1.0,,,9.0,1.0,,156,16,,4,,97,5,11.0,87,66,,,,,,11.0,,,,9.0,1.0,,,2024
Otis,18,6,,,,,,,,,,,,1,4,1,,,12,,,2,2.0,3,,1.0,1,,2.0,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2024
Peru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024
Pittsfield,"1,565",392,2.0,,,,42.0,30.0,12.0,,4.0,,15.0,164,110,54,1.0,,"1,029",1.0,,169,12.0,307,3.0,3.0,82,6.0,43.0,,1.0,,,12.0,,1.0,119,18,,76,4.0,116,44,12.0,144,77,,,,,,10.0,,1.0,,56.0,,,,2024
Richmond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024
Sandisfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024
Savoy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024
Sheffield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024
Stockbridge,48,5,,,,,1.0,1.0,,,,,,2,,2,,,40,,,3,6.0,6,,,5,,,,,,,,,,1,2,,4,,13,,,3,1,,,,,,,,,,2.0,,,,2024
Tyringham,4,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,1,,1,1,1.0,,,,,,,,,,,,,,,,2024
Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024
West Stockbridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024
Williamstown,132,28,,,,,3.0,2.0,1.0,,,,,4,19,2,,,96,,,5,3.0,17,,1.0,9,,1.0,,,,,,,,5,10,,,,43,1,1.0,8,4,,,,,,4.0,,,,,,,,2024
Windsor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024
Acushnet,176,56,,,,,1.0,1.0,,,1.0,,1.0,12,19,22,,,114,,,8,2.0,27,1.0,1.0,26,,27.0,,,,,1.0,,,1,,,7,,9,3,1.0,6,6,,,,,,,,,,,,,,2024
Attleboro,"1,890",573,1.0,,,6.0,8.0,5.0,1.0,2.0,23.0,,1.0,81,389,64,,,"1,221",4.0,,45,37.0,224,6.0,33.0,135,23.0,1.0,2.0,44.0,108.0,14.0,21.0,1.0,4.0,134,68,,119,29.0,103,44,22.0,96,34,6.0,,,,,8.0,1.0,3.0,3.0,36.0,5.0,,,2024
Berkley,109,46,,,,,2.0,1.0,1.0,,1.0,,1.0,6,23,13,,,53,,,1,3.0,12,,,10,1.0,14.0,,,2.0,,,,,,1,,1,,5,2,1.0,10,6,,,,,,1.0,,,,3.0,,,,2024
Bristol Comm College,5,,,,,,,,,,,,,,,,,,5,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024
Bristol State Police,214,38,,,,,,,,,,,,21,13,4,,,4,,,,2.0,2,,,,,,,,,,,,,,,,,,,,,172,140,,,,,,2.0,,,,30.0,,,,2024
Bristol State Police Framingham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024
Bristol State Police Middleboro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024
Dartmouth,"1,312",438,,,,2.0,10.0,7.0,3.0,,9.0,1.0,2.0,70,245,99,,,788,4.0,,25,19.0,119,7.0,7.0,51,20.0,4.0,,23.0,96.0,2.0,7.0,,,192,23,,37,13.0,92,18,29.0,86,47,,,,,,5.0,7.0,,3.0,21.0,3.0,,,2024
Dighton,143,48,,,,,3.0,3.0,,,7.0,,3.0,12,9,14,,,76,,,5,3.0,24,,,7,1.0,18.0,,,,,,,,2,1,,1,,7,6,1.0,19,8,,,,,,6.0,,,,5.0,,,,2024
Easton,590,125,,,,2.0,5.0,2.0,3.0,,2.0,,10.0,33,49,24,,,436,1.0,,16,12.0,84,,4.0,45,2.0,3.0,,,65.0,,,3.0,1.0,37,13,,30,,97,17,6.0,29,15,,,,,,4.0,,,,10.0,,,,2024
Fairhaven,376,142,,,,,2.0,2.0,,,1.0,,1.0,21,66,51,,,209,1.0,,2,6.0,58,,2.0,19,1.0,16.0,,,2.0,,2.0,,,26,8,,3,2.0,43,14,4.0,25,8,,,,,,5.0,,,,12.0,,,,2024
Fall River,"5,192","2,403",3.0,2.0,,36.0,59.0,58.0,1.0,,100.0,,6.0,490,"1,502",202,2.0,1.0,"2,449",15.0,,223,29.0,552,4.0,9.0,97,54.0,8.0,,,104.0,,97.0,,1.0,169,41,,341,66.0,439,158,42.0,340,136,,,,,,36.0,9.0,,,150.0,9.0,,,2024
Freetown,239,109,,,,2.0,3.0,3.0,,,4.0,,2.0,27,43,28,,,119,1.0,,10,,38,,2.0,10,,16.0,,,,,1.0,1.0,,1,2,,3,,26,5,3.0,11,5,,,1.0,,,,,,,5.0,,,,2024
Mansfield,587,153,,,,1.0,6.0,5.0,1.0,,2.0,1.0,3.0,22,103,15,,,392,,,12,11.0,53,,5.0,53,3.0,2.0,2.0,1.0,54.0,,,,,53,12,,16,3.0,86,16,10.0,42,28,,,,,,4.0,,,,9.0,1.0,,,2024
MBTA - Bristol County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024
New Bedford,"5,787","2,431",7.0,,,11.0,44.0,30.0,13.0,1.0,48.0,,7.0,237,"1,647",430,,,"2,816",7.0,,189,38.0,721,28.0,7.0,235,22.0,161.0,1.0,1.0,4.0,,81.0,2.0,2.0,165,130,,293,69.0,357,258,45.0,540,315,,,1.0,,,24.0,,,,146.0,54.0,,,2024
