City,All Offense Types,Crimes Against Person,Murder and Nonnegligent Manslaughter,Negligent Manslaughter,Justifiable Homicide,Kidnapping/Abduction,All Rape,Rape,Sodomy,Sexual Assault With An Object,Criminal Sexual Contact,Incest,Statutory Rape,Aggravated Assault,Simple Assault,Intimidation,"Human Trafficking, Commercial Sex Acts","Human Trafficking, Involuntary Servitude",Crimes Against Property,Arson,Bribery,Burglary/Breaking & Entering,Counterfeiting/Forgery,Destruction/Damage/Vandalism of Property,Embezzlement,Extortion/Blackmail,False Pretenses/Swindle/Confidence Game,Credit Card/Automatic Teller Fraud,Impersonation,Welfare Fraud,Wire Fraud,Identity Theft,Hacking/Computer Invasion,Robbery,Pocket-picking,Purse-snatching,Shoplifting,Theft From Building,Theft From Coin Operated Machine or Device,Theft From Motor Vehicle,Theft of Motor Vehicle Parts/Accessories,All Other Larceny,Motor Vehicle Theft,Stolen Property Offenses,Crimes Against Society,Drug/Narcotic Violations,Drug Equipment Violations,Betting/Wagering,Operating/Promoting/Assisting Gambling,Gambling Equipment Violations,Sports Tampering,Pornography/Obscene Material,Prostitution,Assisting or Promoting Prostitution,Purchasing Prostitution,Weapon Law Violations,Animal Cruelty,Missing,Unnamed: 59,Year
Middlesex State Police Weston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
MIT,386,32,,,,,,,,,,,,2.0,15,15,,,352,,,13.0,,38,,2.0,24.0,1.0,,,,,,,2.0,,,12.0,,,1.0,258.0,1.0,,2.0,1.0,,,,,,,,,,1.0,,,,2019
Mount IDA College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Natick,815,128,,1.0,,,7.0,5.0,2.0,,2.0,,3.0,27.0,73,15,,,667,2.0,,22.0,19.0,110,5.0,,45.0,11.0,35.0,,,,,4.0,2.0,2.0,116.0,51.0,,57.0,3.0,165.0,11.0,7.0,20.0,16.0,,,,,,1.0,,,,3.0,,,,2019
Newton,"1,170",237,,,,3.0,4.0,4.0,,,9.0,,,36.0,139,46,,,911,1.0,,75.0,24.0,124,5.0,,118.0,37.0,5.0,,9.0,51.0,2.0,10.0,5.0,,87.0,102.0,,108.0,7.0,119.0,11.0,11.0,22.0,17.0,,,,,,,2.0,,,3.0,,,,2019
North Reading,206,49,,,,,3.0,1.0,2.0,,1.0,,,12.0,27,6,,,137,,,10.0,13.0,22,1.0,,27.0,,5.0,,,,,1.0,,1.0,5.0,4.0,,4.0,,31.0,9.0,4.0,20.0,7.0,,,,,,4.0,1.0,,,8.0,,,,2019
Pepperell,240,57,,,,,5.0,5.0,,,1.0,,1.0,9.0,30,11,,,177,,,5.0,2.0,47,,1.0,31.0,5.0,25.0,,,,,1.0,,,2.0,12.0,,16.0,1.0,25.0,3.0,1.0,6.0,5.0,,,,,,1.0,,,,,,,,2019
Reading,275,33,,,,,,,,,,,,3.0,15,15,,,219,,,15.0,4.0,57,1.0,,,30.0,,,,,,2.0,38.0,8.0,11.0,25.0,5.0,16.0,,,7.0,,23.0,15.0,6.0,,,,,,,,,2.0,,,,2019
Regis College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Regis College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Regis College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Sherborn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Shirley,136,44,,,,,1.0,1.0,,,,,2.0,18.0,11,12,,,86,,,10.0,1.0,19,,,5.0,2.0,11.0,,,,,,1.0,,,5.0,,1.0,,24.0,4.0,3.0,6.0,4.0,,,,,,,,,,2.0,,,,2019
Somerville,"2,182",510,,,,7.0,16.0,16.0,,,38.0,,7.0,127.0,280,35,,,"1,559",4.0,,141.0,34.0,235,,7.0,105.0,65.0,,,,,,39.0,31.0,,125.0,73.0,,170.0,,441.0,89.0,,113.0,54.0,,,,,,10.0,,1.0,,48.0,,,,2019
Stoneham,485,112,,,,3.0,9.0,9.0,,,5.0,,,20.0,65,10,,,335,,,45.0,15.0,44,,1.0,35.0,2.0,37.0,,,,,5.0,,,23.0,13.0,,,2.0,91.0,17.0,5.0,38.0,30.0,1.0,,,,,,,,,7.0,,,,2019
Stow,67,24,,,,,,,,,,2.0,,4.0,16,2,,,41,1.0,,4.0,1.0,7,,,5.0,4.0,6.0,,,2.0,,,,,1.0,1.0,,,,6.0,1.0,2.0,2.0,,,,,,,1.0,,,,,1.0,,,2019
Sudbury,214,42,,,,,6.0,5.0,1.0,,2.0,,1.0,8.0,15,10,,,166,,,7.0,12.0,21,1.0,,28.0,4.0,18.0,,,,,1.0,,2.0,12.0,15.0,,5.0,,32.0,3.0,5.0,6.0,1.0,,,,,,4.0,,,,1.0,,,,2019
Tewksbury,"1,034",292,1.0,,,4.0,23.0,17.0,6.0,,2.0,1.0,2.0,51.0,164,43,1.0,,629,1.0,,21.0,24.0,83,2.0,,69.0,4.0,49.0,,1.0,1.0,,7.0,2.0,3.0,118.0,26.0,,33.0,1.0,149.0,18.0,17.0,113.0,99.0,,,,,,2.0,2.0,2.0,,8.0,,,,2019
Townsend,138,56,,,,,2.0,2.0,,,4.0,,3.0,8.0,28,11,,,65,,,4.0,4.0,10,1.0,2.0,10.0,,5.0,,,,,,,,3.0,3.0,,1.0,,15.0,7.0,,17.0,11.0,,,,,,3.0,,,,3.0,,,,2019
Tufts University Medford,66,14,,,,,,,,,1.0,,,3.0,4,6,,,52,1.0,,3.0,,14,,1.0,2.0,,,,,,,,,,,21.0,,,,10.0,,,,,,,,,,,,,,,,,,2019
Tufts University prior 01/01/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Tufts University since 01/01/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Tyngsborough,248,59,,,,1.0,4.0,1.0,3.0,,,,3.0,13.0,32,6,,,134,,,5.0,5.0,48,,,19.0,4.0,5.0,,,1.0,,3.0,,,,4.0,,5.0,,23.0,11.0,1.0,55.0,52.0,,,,,,1.0,,,,2.0,,,,2019
U-Mass Lowell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Wakefield,550,129,,,,,3.0,2.0,1.0,,,,10.0,31.0,74,11,,,383,,,25.0,18.0,58,1.0,3.0,45.0,5.0,58.0,,,3.0,,3.0,,1.0,4.0,23.0,,30.0,3.0,85.0,12.0,6.0,38.0,35.0,,,,,,,,,,3.0,,,,2019
Waltham,"1,357",407,,,,3.0,13.0,13.0,,,,,,84.0,252,55,,,880,5.0,,72.0,30.0,166,,2.0,129.0,9.0,,,,,,7.0,4.0,,71.0,15.0,,45.0,2.0,301.0,22.0,,70.0,51.0,,,,,,6.0,,,,13.0,,,,2019
Watertown,775,170,,,,,10.0,6.0,4.0,,3.0,,3.0,17.0,105,32,,,560,,,36.0,15.0,59,2.0,6.0,53.0,12.0,42.0,,36.0,,,2.0,3.0,2.0,79.0,39.0,,62.0,6.0,88.0,15.0,3.0,45.0,33.0,,,,,,3.0,4.0,1.0,,4.0,,,,2019
Wayland,1,,,,,,,,,,,,,,,,,,1,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Westford,220,38,,,,,,,,,1.0,,1.0,9.0,21,6,,,139,,,5.0,13.0,23,1.0,,24.0,,16.0,,,,,1.0,,1.0,3.0,9.0,,1.0,,32.0,4.0,6.0,43.0,37.0,,,,,,3.0,,,,3.0,,,,2019
Weston,116,29,,,,,2.0,2.0,,,1.0,,1.0,7.0,8,10,,,81,,,4.0,8.0,10,,,12.0,4.0,13.0,,,1.0,1.0,,2.0,,,5.0,,5.0,,13.0,2.0,1.0,6.0,4.0,,,,,,2.0,,,,,,,,2019
Wilmington,438,103,,,,,5.0,5.0,,,1.0,,2.0,26.0,50,19,,,309,,,15.0,15.0,66,2.0,1.0,37.0,3.0,17.0,,,,,1.0,1.0,,12.0,16.0,,10.0,3.0,90.0,16.0,4.0,26.0,18.0,,,,,,1.0,,,,7.0,,,,2019
Winchester,150,17,,,,,,,,,,,,7.0,9,1,,,131,1.0,,10.0,1.0,33,,,,,,,,,,,,,4.0,6.0,,27.0,4.0,37.0,4.0,4.0,2.0,,,,,,,,,,,2.0,,,,2019
Woburn,"1,106",195,,,,,2.0,2.0,,,6.0,,3.0,58.0,106,17,3.0,,809,1.0,,46.0,20.0,134,2.0,1.0,120.0,15.0,68.0,,2.0,,,11.0,3.0,3.0,108.0,39.0,,55.0,7.0,116.0,45.0,13.0,102.0,71.0,1.0,,1.0,,,6.0,10.0,4.0,,9.0,,,,2019
MBTA - Nantucket County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Nantucket,431,116,,,,1.0,2.0,2.0,,,3.0,,2.0,25.0,79,4,,,301,1.0,,17.0,3.0,120,,,4.0,3.0,5.0,,2.0,,,,,,15.0,29.0,,25.0,,72.0,4.0,1.0,14.0,10.0,1.0,,,,,1.0,,,,2.0,,,,2019
Nantucket State Police,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Avon,162,30,,,,,1.0,,1.0,,2.0,,,7.0,11,9,,,129,2.0,,9.0,4.0,12,,,14.0,4.0,1.0,,1.0,,,2.0,2.0,,46.0,3.0,,8.0,2.0,16.0,3.0,,3.0,,,,,,,,,,,3.0,,,,2019
Babson College,49,6,,,,,,,,,,,,2.0,4,,,,42,,,,7.0,13,,,4.0,,,,,,,,,,,13.0,,1.0,,4.0,,,1.0,1.0,,,,,,,,,,,,,,2019
Bellingham,556,120,,,,,3.0,,3.0,,4.0,,,20.0,67,26,,,395,2.0,,16.0,19.0,78,3.0,,34.0,5.0,18.0,,,,,2.0,1.0,3.0,69.0,27.0,,14.0,,88.0,8.0,8.0,41.0,35.0,,,,,,2.0,1.0,,,3.0,,,,2019
Braintree,"1,090",258,,,,3.0,3.0,3.0,,,1.0,,,40.0,184,27,,,733,1.0,,53.0,12.0,32,,,,54.0,12.0,1.0,121.0,2.0,,4.0,2.0,5.0,241.0,110.0,,42.0,14.0,10.0,17.0,,99.0,86.0,1.0,,,,,3.0,,,,9.0,,,,2019
Brookline,906,148,1.0,,,5.0,2.0,2.0,,,9.0,,1.0,40.0,86,4,,,756,,,47.0,14.0,92,,,58.0,22.0,4.0,,25.0,,,14.0,7.0,5.0,118.0,123.0,1.0,57.0,11.0,152.0,6.0,,2.0,,,,,,,1.0,,,,1.0,,,,2019
Canton,441,113,,,,2.0,,,,,,,2.0,80.0,13,16,,,318,1.0,,18.0,4.0,60,6.0,3.0,33.0,12.0,22.0,,,,,5.0,2.0,1.0,20.0,14.0,,17.0,1.0,87.0,7.0,5.0,10.0,5.0,,,,,,2.0,,,,3.0,,,,2019
Cohasset,133,23,,,,,,,,,,,,3.0,15,5,,,110,,,10.0,5.0,29,,1.0,7.0,2.0,10.0,,,2.0,,,,,2.0,4.0,,2.0,,33.0,3.0,,,,,,,,,,,,,,,,,2019
Curry College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Dean College,31,4,,,,,,,,,,,,,4,,,,27,,,5.0,,8,,,,,,,,,,,,,,13.0,,,,1.0,,,,,,,,,,,,,,,,,,2019
Dedham,515,47,,,,,5.0,4.0,,1.0,,,,1.0,41,,,,464,,,8.0,8.0,79,5.0,,17.0,27.0,,,,,,1.0,,2.0,126.0,13.0,,45.0,,111.0,22.0,,4.0,4.0,,,,,,,,,,,,,,2019
Dover,59,10,,,,,,,,,,,,1.0,7,2,,,47,,,3.0,2.0,7,,,9.0,3.0,9.0,,2.0,2.0,,,,,,2.0,,1.0,,7.0,,,2.0,1.0,1.0,,,,,,,,,,,,,2019
Foxborough,616,198,,,,1.0,5.0,5.0,,,6.0,1.0,,26.0,131,28,,,381,1.0,,19.0,21.0,85,,,63.0,4.0,21.0,,,,,4.0,3.0,2.0,15.0,20.0,,26.0,1.0,66.0,20.0,10.0,37.0,24.0,,,,,,3.0,,,,10.0,,,,2019
Franklin,212,81,,,,,,,,,8.0,,,1.0,69,3,,,125,,,16.0,5.0,10,2.0,,,1.0,,,3.0,,,1.0,,,5.0,2.0,,15.0,2.0,57.0,6.0,,6.0,3.0,,,,,,,,,,3.0,,,,2019
Holbrook,372,123,,,,,4.0,4.0,,,3.0,1.0,10.0,25.0,62,18,,,232,,,26.0,1.0,52,,2.0,16.0,1.0,17.0,,,1.0,,4.0,,,16.0,7.0,,16.0,,59.0,10.0,4.0,17.0,10.0,,,,,,3.0,,,,4.0,,,,2019
Mass Bay Community College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
MBTA - Norfolk County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Medfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Medway,53,22,,,,,,,,,,,,6.0,16,,,,30,,,8.0,,1,,,,,,,,,,,,,2.0,,,,,19.0,,,1.0,,,,,,,1.0,,,,,,,,2019
Millis,75,32,,,,,2.0,2.0,,,,,1.0,4.0,16,9,,,40,,,6.0,4.0,9,,,6.0,1.0,,,,1.0,,,,,2.0,2.0,,,1.0,5.0,2.0,1.0,3.0,1.0,,,1.0,,,,,,,1.0,,,,2019
Milton,180,28,,,,,2.0,2.0,,,,,,4.0,20,2,,,145,,,13.0,3.0,33,,,7.0,,,,4.0,31.0,,5.0,,,3.0,14.0,,15.0,,8.0,8.0,1.0,7.0,7.0,,,,,,,,,,,,,,2019
Mt. Ida College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Needham,421,73,,,,,3.0,3.0,,,8.0,,,8.0,39,15,,,327,1.0,,22.0,19.0,33,3.0,1.0,62.0,3.0,61.0,,,1.0,,,,5.0,5.0,18.0,,21.0,1.0,66.0,2.0,3.0,21.0,18.0,,,,,,,,,,3.0,,,,2019
Norfolk,79,13,,,,,,,,,1.0,,,1.0,11,,,,63,,,3.0,3.0,5,,,2.0,5.0,,,4.0,20.0,,,,,,4.0,,6.0,,10.0,,1.0,3.0,2.0,,,,,,,,,,1.0,,,,2019
Norfolk State Police,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Norfolk State Police Framingham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Norfolk State Police Middleboro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Norwood,780,204,,,,2.0,9.0,4.0,3.0,2.0,6.0,1.0,,30.0,132,24,,,502,2.0,,34.0,22.0,99,1.0,,62.0,15.0,38.0,,,3.0,,8.0,,2.0,16.0,18.0,,29.0,,129.0,10.0,14.0,74.0,61.0,,,,,,5.0,1.0,1.0,,6.0,,,,2019
Plainville,145,19,1.0,,,,,,,,,,,5.0,12,1,,,124,,,10.0,5.0,24,2.0,1.0,1.0,22.0,1.0,,3.0,,,,,,16.0,16.0,,9.0,2.0,9.0,3.0,,2.0,2.0,,,,,,,,,,,,,,2019
Quincy,"3,118","1,020",1.0,,,6.0,31.0,28.0,4.0,,8.0,,1.0,285.0,426,262,,,"1,911",2.0,,219.0,55.0,268,2.0,3.0,66.0,67.0,142.0,,,,,61.0,36.0,,130.0,123.0,,150.0,27.0,489.0,61.0,10.0,187.0,153.0,,,,,,5.0,1.0,,,28.0,,,,2019
Randolph,"1,105",389,1.0,,,2.0,6.0,5.0,1.0,,10.0,,,65.0,232,73,,,640,1.0,,69.0,15.0,141,,,16.0,30.0,,,17.0,,,10.0,,1.0,81.0,10.0,,29.0,6.0,180.0,34.0,,76.0,40.0,14.0,,,,,4.0,3.0,1.0,,14.0,,,,2019
Sharon,136,29,,,,,4.0,3.0,1.0,,1.0,,1.0,5.0,16,2,,,99,1.0,,10.0,3.0,18,,,18.0,1.0,5.0,,,1.0,,,1.0,,2.0,5.0,,5.0,,23.0,4.0,2.0,8.0,6.0,,,1.0,,,1.0,,,,,,,,2019
Stoughton,946,286,1.0,,,1.0,9.0,4.0,5.0,,6.0,2.0,2.0,41.0,173,51,,,584,1.0,,33.0,14.0,107,1.0,,78.0,8.0,52.0,,,,,7.0,10.0,,77.0,16.0,,27.0,,118.0,22.0,13.0,76.0,52.0,,,,,,3.0,1.0,,,20.0,,,,2019
Walpole,741,206,,,,5.0,11.0,5.0,6.0,,7.0,,4.0,38.0,113,28,,,464,,,25.0,22.0,51,,1.0,58.0,5.0,46.0,,,,,1.0,2.0,1.0,66.0,8.0,,32.0,2.0,129.0,12.0,3.0,71.0,56.0,,,,,,3.0,,1.0,,11.0,,,,2019
Wellesley,330,51,,,,,,,,,3.0,,,7.0,33,8,,,258,,,15.0,24.0,30,,1.0,30.0,4.0,30.0,,,,,,1.0,,4.0,10.0,,11.0,1.0,85.0,1.0,11.0,21.0,11.0,1.0,,,,,5.0,,,,4.0,,,,2019
Wellesley College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Westwood,376,49,,,,,1.0,,1.0,,,,2.0,6.0,31,9,,,306,,,14.0,15.0,29,2.0,1.0,38.0,5.0,33.0,,,,,3.0,,1.0,60.0,18.0,,17.0,4.0,57.0,4.0,5.0,21.0,13.0,,,,,,4.0,,,,3.0,1.0,,,2019
Weymouth,"1,411",433,,,,3.0,21.0,15.0,5.0,1.0,10.0,,11.0,141.0,181,66,,,834,,,48.0,27.0,164,5.0,,78.0,8.0,29.0,,,1.0,,9.0,3.0,6.0,126.0,67.0,,63.0,,143.0,33.0,24.0,144.0,119.0,,,2.0,,,4.0,1.0,,,17.0,1.0,,,2019
Wrentham,251,23,,,,,2.0,2.0,,,,,,2.0,17,2,,,225,,,18.0,14.0,2,,,4.0,9.0,2.0,,1.0,8.0,,,,,83.0,3.0,,20.0,1.0,50.0,7.0,3.0,3.0,3.0,,,,,,,,,,,,,,2019
Abington,472,111,4.0,,,,5.0,5.0,,,1.0,1.0,3.0,11.0,65,21,,,298,1.0,,24.0,12.0,55,4.0,,33.0,5.0,27.0,,,,,3.0,,1.0,46.0,5.0,,1.0,1.0,71.0,8.0,1.0,63.0,50.0,,,,,,5.0,1.0,,,7.0,,,,2019
Bridgewater,416,142,,,,,4.0,4.0,,,,,6.0,53.0,59,20,,,248,,,25.0,20.0,59,2.0,1.0,30.0,2.0,26.0,,,,,3.0,2.0,1.0,9.0,21.0,,6.0,,28.0,10.0,3.0,26.0,16.0,,,,,,2.0,,,,8.0,,,,2019
Bridgewater State University,73,26,,,,,4.0,4.0,,,2.0,,,5.0,4,11,,,39,,,,1.0,13,,,2.0,,,,,1.0,,,,,1.0,10.0,,,,10.0,1.0,,8.0,7.0,,,,,,,1.0,,,,,,,2019
Brockton,"5,890","2,231",5.0,,,28.0,64.0,55.0,9.0,,57.0,,37.0,570.0,"1,223",245,,2.0,"3,222",16.0,,262.0,44.0,763,9.0,2.0,112.0,15.0,123.0,,,,,149.0,26.0,16.0,119.0,97.0,,286.0,10.0,834.0,289.0,50.0,437.0,280.0,,,1.0,,,15.0,6.0,,,135.0,,,,2019
Carver,257,92,,,,,6.0,6.0,,,1.0,,2.0,17.0,45,21,,,150,,,13.0,4.0,29,,,20.0,3.0,16.0,,,,,3.0,,,5.0,4.0,,7.0,,36.0,9.0,1.0,15.0,7.0,,,1.0,,,4.0,1.0,,,2.0,,,,2019
Duxbury,204,53,,,,,2.0,1.0,,1.0,,,2.0,7.0,29,13,,,146,1.0,,9.0,6.0,34,,2.0,26.0,3.0,12.0,,,,,,,,,20.0,,11.0,,18.0,3.0,1.0,5.0,5.0,,,,,,,,,,,,,,2019
East Bridgewater,302,98,,,,1.0,3.0,3.0,,,2.0,1.0,1.0,22.0,56,12,,,189,2.0,,12.0,4.0,59,2.0,1.0,36.0,,9.0,,,1.0,,2.0,2.0,,6.0,9.0,,10.0,1.0,19.0,6.0,8.0,15.0,5.0,,,,,,3.0,,,,7.0,,,,2019
Halifax,161,38,,,,,1.0,,1.0,,3.0,3.0,,7.0,14,10,,,119,1.0,,9.0,6.0,32,,,9.0,3.0,8.0,,,1.0,,,2.0,,11.0,12.0,,,,13.0,12.0,,4.0,2.0,,,,,,1.0,,,,1.0,,,,2019
Hanover,243,6,,,,,,,,,,,,3.0,3,,,,236,,,4.0,,34,,,21.0,30.0,6.0,,2.0,,,,2.0,,57.0,11.0,,6.0,3.0,38.0,1.0,21.0,1.0,1.0,,,,,,,,,,,,,,2019
Hanson,213,89,,,,,1.0,1.0,,,2.0,,1.0,14.0,42,29,,,118,,,9.0,3.0,41,,,6.0,1.0,9.0,,,,,2.0,,,,7.0,,8.0,1.0,27.0,2.0,2.0,6.0,1.0,,,,,,2.0,,,,3.0,,,,2019
Hingham,420,83,,,,,6.0,3.0,3.0,,,,1.0,24.0,37,15,,,322,,,45.0,5.0,61,1.0,,31.0,4.0,29.0,,,1.0,,,1.0,4.0,43.0,26.0,,6.0,,56.0,4.0,5.0,15.0,12.0,,,,,,,,,,3.0,,,,2019
Hull,382,117,,,,,4.0,1.0,3.0,,1.0,,,42.0,53,17,,,229,,,8.0,5.0,82,,,30.0,2.0,20.0,,,,,1.0,1.0,2.0,6.0,19.0,,6.0,,40.0,4.0,3.0,36.0,28.0,,,,,,1.0,,,,7.0,,,,2019
Kingston,319,84,,,,1.0,5.0,4.0,1.0,,1.0,1.0,3.0,14.0,50,9,,,222,1.0,,8.0,8.0,48,1.0,,26.0,5.0,6.0,,,,,3.0,,,26.0,14.0,,10.0,1.0,53.0,4.0,8.0,13.0,8.0,,,,,,3.0,,,,1.0,1.0,,,2019
Lakeville,181,45,,,,,4.0,3.0,1.0,,,,,12.0,29,,,,112,,,20.0,,25,,,,,,,1.0,,,1.0,,,,,,10.0,2.0,50.0,3.0,,24.0,18.0,,,,,,,,,,6.0,,,,2019
Marion,128,36,,,,1.0,2.0,2.0,,,,,1.0,3.0,13,16,,,87,,,4.0,1.0,25,,,15.0,,6.0,,,,,,,,3.0,7.0,,2.0,,18.0,6.0,,5.0,1.0,,,,,,1.0,,,,3.0,,,,2019
Marshfield,231,79,,,,,2.0,1.0,1.0,,,,4.0,27.0,28,18,,,142,,,10.0,2.0,45,2.0,,11.0,,5.0,,,,,3.0,,1.0,6.0,9.0,,11.0,,30.0,6.0,1.0,10.0,7.0,,,,,,1.0,,,,2.0,,,,2019
Massasoit Community College,24,7,,,,,,,,,3.0,,,,2,2,,,16,,,,,8,,,1.0,,,,,,,1.0,,1.0,,2.0,,,1.0,2.0,,,1.0,1.0,,,,,,,,,,,,,,2019
Mattapoisett,122,37,,,,,1.0,1.0,,,1.0,,,11.0,19,5,,,76,,,5.0,,21,,,8.0,,3.0,,,,,,,,,6.0,,2.0,,26.0,2.0,3.0,9.0,5.0,,,,,,1.0,,,,3.0,,,,2019
MBTA - Plymouth County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Middleborough,853,383,,,,9.0,17.0,10.0,7.0,,8.0,1.0,10.0,103.0,182,53,,,415,5.0,,15.0,13.0,100,2.0,,36.0,7.0,21.0,,2.0,2.0,,9.0,4.0,,16.0,25.0,,35.0,1.0,88.0,24.0,10.0,55.0,38.0,1.0,,,,,8.0,,,,8.0,,,,2019
Norwell,123,24,,,,,,,,,,,,11.0,9,4,,,90,,,8.0,1.0,18,,,9.0,4.0,6.0,,,1.0,,,,1.0,7.0,5.0,,,1.0,24.0,5.0,,9.0,4.0,,,,,,1.0,1.0,1.0,,2.0,,,,2019
Pembroke,269,55,,1.0,,,2.0,2.0,,,,,,8.0,36,8,,,188,1.0,,12.0,4.0,39,,,24.0,2.0,23.0,,2.0,1.0,,3.0,,1.0,20.0,14.0,,8.0,,19.0,8.0,7.0,26.0,21.0,,,,,,1.0,,,,4.0,,,,2019
Plymouth,"1,884",666,,,,1.0,38.0,25.0,10.0,3.0,9.0,10.0,12.0,151.0,337,108,,,"1,098",5.0,,73.0,22.0,248,4.0,3.0,106.0,15.0,36.0,,2.0,1.0,,11.0,1.0,1.0,227.0,50.0,,49.0,5.0,177.0,33.0,29.0,120.0,83.0,1.0,,,,,18.0,,,,18.0,,,,2019
Plymouth State Police,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Plymouth State Police Middleboro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Plympton,63,31,,,,,,,,,,,,3.0,11,17,,,32,,,5.0,1.0,6,,,5.0,1.0,2.0,,,,,1.0,,,2.0,1.0,,,,7.0,1.0,,,,,,,,,,,,,,,,,2019
Rochester,129,38,,,,,5.0,5.0,,,1.0,,2.0,3.0,18,9,,,76,,,10.0,2.0,29,,3.0,9.0,1.0,1.0,,,,,,,,3.0,3.0,,3.0,,7.0,2.0,3.0,15.0,8.0,,,,,,2.0,,,,4.0,1.0,,,2019
Rockland,297,140,,,,2.0,8.0,5.0,3.0,,1.0,,3.0,41.0,68,17,,,137,3.0,,17.0,12.0,35,,,16.0,,2.0,,,,,4.0,,1.0,5.0,6.0,,3.0,,25.0,4.0,4.0,20.0,17.0,,,,,,,,,,3.0,,,,2019
Scituate,192,50,,,,,2.0,1.0,1.0,,1.0,,2.0,12.0,27,5,1.0,,128,1.0,,7.0,,25,,,18.0,1.0,17.0,,,1.0,,,1.0,,3.0,14.0,,13.0,,20.0,5.0,2.0,14.0,11.0,,,,,,1.0,,,,2.0,,,,2019
Wareham,"1,056",366,1.0,,,3.0,23.0,13.0,9.0,1.0,3.0,,6.0,128.0,164,38,,,629,,,51.0,31.0,160,1.0,,56.0,4.0,16.0,,,4.0,,9.0,4.0,3.0,86.0,24.0,,6.0,2.0,132.0,21.0,19.0,61.0,46.0,1.0,,,,,1.0,,,,12.0,1.0,,,2019
West Bridgewater,189,27,,,,,1.0,1.0,,,,,1.0,8.0,13,4,,,151,1.0,,16.0,13.0,16,,,38.0,1.0,5.0,,,1.0,,,,,20.0,1.0,,14.0,,14.0,8.0,3.0,11.0,7.0,,,,,,1.0,,,,3.0,,,,2019
Whitman,341,111,,,,,3.0,3.0,,,1.0,,5.0,27.0,66,9,,,209,2.0,,22.0,10.0,41,1.0,,24.0,3.0,11.0,,,1.0,,3.0,3.0,2.0,12.0,11.0,,10.0,2.0,38.0,7.0,6.0,21.0,15.0,,,,,,2.0,,,,4.0,,,,2019
Berklee College of Music,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Beth Israel Deaconess Med Ctr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
